Time [s],Voltage [V]
0.0,4.0363443615328825
0.00229176766624149,4.036332090435955
0.00458353533248298,4.036319823214513
0.00916707066496596,4.036295297244704
0.01833414132993192,4.036246285637056
0.03666828265986384,4.036148381192875
0.07333656531972768,4.035953199473676
0.11000484797959152,4.035758476408247
0.1833414132993192,4.035370667098536
0.33001454393877455,4.034601498443373
0.4766876745782299,4.033839228137336
0.6233608052176853,4.033083969181786
0.9167070664965961,4.031591199042595
1.2100533277755068,4.03012543888623
1.7967458503333282,4.027281923777394
2.3247691206353673,4.024821347491283
2.852792390937407,4.022452290910075
3.3808156612394464,4.020171882569609
3.908838931541486,4.0179765132937515
4.964885472145564,4.013826122336186
6.020932012749643,4.009969727449637
7.350671418113991,4.005484313697822
8.680410823478338,4.001363703229688
10.010150228842685,3.9975616073236844
11.339889634207031,3.994040579414437
12.669629039571378,3.99076856560935
15.329107850300073,3.9848726481714087
17.988586661028766,3.9797001848872537
20.64806547175746,3.9751228103318383
23.307544282486152,3.9710463853293763
25.967023093214845,3.9673984630032577
28.626501903943538,3.9641204763511664
31.28598071467223,3.9611645559303326
36.60493833612962,3.9560666140782215
41.92389595758701,3.951861345164194
47.24285357904439,3.948372663007387
52.56181120050178,3.945466094789798
57.880768821959165,3.943035612883047
63.19972644341655,3.9409962204066016
68.51868406487394,3.9392787938009888
73.83764168633132,3.9378261964519905
79.15659930778871,3.9365905573193087
84.4755569292461,3.9355316844044443
89.79451455070348,3.934614807109213
95.11347217216087,3.9338103276633043
100.43242979361825,3.9330930776054522
105.75138741507564,3.9324414654882465
111.07034503653303,3.93183701101407
116.38930265799041,3.9312629107246186
121.7082602794478,3.930706710286698
127.02721790090519,3.930156782144388
132.34617552236259,3.9296031165216654
137.66513314382,3.929037177651665
142.9840907652774,3.928451617504185
148.3030483867348,3.927841112171871
153.6220060081922,3.927200911563107
158.9409636296496,3.92652702801731
164.259921251107,3.9258164572507708
169.5788788725644,3.9250665447322164
174.8978364940218,3.9242759873052377
180.2167941154792,3.9234436083454005
185.5357517369366,3.922568745349394
190.854709358394,3.921651035087661
196.1736669798514,3.9206905039141198
201.4926246013088,3.9196947973991367
206.8115822227662,3.918657157708885
212.1305398442236,3.917578542390856
222.76845508713836,3.9152942324303743
233.40637033005314,3.912857978596263
254.68220081588268,3.9075879813778824
273.8304482531293,3.9024716344956425
292.9786956903759,3.8970841767686197
312.1269431276225,3.8915015553159975
331.2751905648691,3.885791355862543
350.4234380021157,3.88001495137249
369.5716854393623,3.8742201719956957
407.8681803138555,3.8627306345049206
446.16467518834867,3.851553220444435
484.46117006284186,3.8408224419119015
522.7576649373351,3.830604044394924
561.0541598118283,3.8209123501228266
637.6471495608147,3.803000261445474
714.2401393098011,3.786679788405242
790.8331290587874,3.7713723123555454
867.4261188077738,3.7563372468637892
944.0191085567602,3.7404755303351855
1020.6120983057466,3.721931561743527
1173.7980778037195,3.6697391854181234
1326.9840573016922,3.616701307944342
1480.170036799665,3.5752413710729862
1633.3560162976378,3.541577817583431
1786.5419957956105,3.513974780247997
1939.7279752935833,3.489505982671382
2092.913954791556,3.465216784307275
2399.2859137875016,3.4025237443419
2705.657872783447,3.313241667138424
3012.0298317793927,3.231665163558807
3318.401790775338,2.9862294325511227
3555.883939210433,2.4999999999998916
