4.1966, 298.58
10.911, 299.15
20.983, 300.57
31.894, 301.85
47.842, 303.42
60.432, 304.98
70.200, 306.00
85.194, 306.94
100.19, 308.20
110.49, 308.99
120.80, 309.75
131.11, 310.42
141.42, 310.92
151.73, 311.52
162.03, 312.04
172.34, 312.44
182.65, 312.86
192.96, 313.27
203.27, 313.66
213.57, 314.02
223.88, 314.33
234.19, 314.62
244.50, 314.91
254.81, 315.17
265.11, 315.42
275.42, 315.69
285.73, 315.94
296.04, 316.18
306.34, 316.45
316.65, 316.70
326.96, 316.97
337.27, 317.22
347.58, 317.46
357.88, 317.72
368.19, 317.95
378.50, 318.23
388.81, 318.47
399.12, 318.71
409.42, 318.96
419.73, 319.23
430.04, 319.50
440.35, 319.79
450.66, 320.03
460.96, 320.32
471.27, 320.61
481.58, 320.91
491.89, 321.23
502.19, 321.47
512.50, 321.85
522.81, 322.17
533.12, 322.47
543.43, 322.80
553.73, 323.15
564.04, 323.48
574.35, 323.83
584.66, 324.20
594.97, 324.58
605.27, 324.96
615.58, 325.30
625.89, 325.73
636.20, 326.12
646.51, 326.56
656.81, 327.04
667.12, 327.53
677.43, 327.69
687.74, 327.95
698.04, 328.25
708.35, 328.54
