-1, 37909
-3, 31551
-3, 27837
-3, 24123
-3, 20409
-3, 16695
33, 45366
83, 44104
132, 42830
182, 41591
229, 41438
282, 41311
331, 40789
381, 40206
433, 39292
481, 38779
530, 38272
580, 37781
630, 37106
676, 36880
729, 37121
779, 37121
829, 36845
879, 36555
928, 37435
978, 37797
1028, 37751
1077, 37935
1123, 38199
1177, 38810
1227, 38810
1276, 38753
1328, 38134
1376, 37930
1426, 37659
1475, 36707
1525, 35688
1572, 35161
1624, 34420
1674, 33653
1724, 33162
1776, 32735
1823, 32650
1873, 32778
1923, 32563
1973, 32594
2072, 33024
2122, 33730
2172, 34206
2224, 34596
2321, 35449
2370, 36155
2420, 36769
2469, 37218
2520, 37766
2569, 38963
2619, 39961
2673, 40678
2719, 41460
2768, 43659
2818, 46376
2871, 48860
2918, 50246
2967, 52468
3017, 54402
3069, 56727
3148, 62198
3242, 68391
3297, 72432
3338, 75499
3385, 79596
3451, 86970
3477, 90193
3508, 94174
3539, 99836
3562, 104485
3109, 59416
3187, 65909
3413, 82792
2265, 34740
2013, 32468
4, 45455
0, 41883
0, 34416
-4, 10714
