5.8753, 298.86
18.465, 300.00
26.859, 301.28
41.966, 302.99
56.235, 304.41
63.789, 305.41
76.379, 306.55
85.612, 307.54
96.523, 308.40
108.27, 309.68
117.51, 310.39
128.30, 311.71
138.61, 312.54
148.92, 313.37
158.96, 314.15
169.53, 315.01
179.84, 315.61
190.15, 316.41
200.45, 317.10
210.76, 317.80
221.07, 318.50
231.38, 319.12
241.69, 319.74
251.99, 320.37
262.30, 320.91
272.61, 321.49
282.92, 322.06
293.23, 322.61
303.53, 323.16
313.84, 323.73
324.15, 324.25
334.46, 324.76
344.77, 325.27
355.07, 325.81
365.38, 326.19
375.69, 326.69
386.00, 327.15
396.30, 327.63
406.61, 328.07
416.92, 328.49
427.23, 328.96
437.54, 329.42
447.84, 329.84
458.15, 330.28
468.46, 330.72
478.77, 331.17
489.08, 331.63
499.38, 332.08
509.69, 332.51
520.00, 332.99
530.31, 333.45
540.62, 333.90
550.92, 334.40
561.23, 334.90
571.54, 335.39
581.85, 335.92
592.15, 336.46
602.46, 336.96
612.77, 337.51
623.08, 338.11
633.39, 338.58
643.69, 339.18
654.00, 339.79
664.31, 340.41
674.62, 341.08
684.93, 341.34
695.23, 341.57
705.54, 341.89
712.10, 341.99
