0.88050, 298.18
5.2830, 298.82
9.6855, 299.33
17.610, 300.35
22.893, 300.98
30.818, 301.94
36.101, 302.45
44.025, 303.47
51.950, 304.29
58.113, 304.93
65.157, 305.57
72.201, 306.27
76.604, 306.78
85.409, 307.48
91.572, 308.11
97.736, 308.68
103.90, 309.26
111.82, 309.83
120.63, 310.53
127.67, 311.10
135.60, 311.74
144.40, 312.25
151.45, 312.82
157.61, 313.39
168.18, 313.97
176.98, 314.60
182.84, 315.01
195.60, 315.74
204.48, 316.21
213.64, 316.66
222.18, 317.10
231.96, 317.60
246.95, 318.21
256.10, 318.59
265.26, 318.99
274.42, 319.35
283.58, 319.72
292.74, 320.08
301.90, 320.46
311.05, 320.81
320.21, 321.11
329.37, 321.42
338.53, 321.75
347.69, 322.15
356.85, 322.41
366.00, 322.72
375.16, 323.05
384.32, 323.35
393.48, 323.65
402.64, 323.95
411.80, 324.26
420.96, 324.54
430.11, 324.85
439.27, 325.15
448.43, 325.45
457.59, 325.74
466.75, 326.06
475.91, 326.36
485.06, 326.69
494.22, 327.02
503.38, 327.33
512.54, 327.66
521.70, 328.02
530.86, 328.36
540.01, 328.71
549.17, 329.06
558.33, 329.43
567.49, 329.79
576.65, 330.17
585.81, 330.56
594.97, 331.01
604.12, 331.37
613.28, 331.79
622.44, 332.22
631.60, 332.66
640.76, 333.10
649.92, 333.57
659.07, 334.04
668.23, 334.56
677.39, 334.75
686.55, 335.03
691.96, 335.14
