-1, 378539
-1, 407975
-1, 392644
1, 478510
1, 462131
1, 450200
1, 438270
1, 426339
3, 542630
2, 526126
1, 514194
1, 502264
1, 493043
28, 639332
38, 637558
48, 636899
58, 636831
68, 637750
77, 638570
87, 638025
97, 637202
107, 635311
117, 632975
127, 629703
137, 627171
147, 624786
157, 622845
167, 622087
176, 622809
186, 623912
196, 624991
206, 625909
215, 626829
226, 630901
236, 632610
246, 633823
256, 634889
265, 635512
275, 636578
285, 637497
295, 638218
305, 639087
315, 640252
325, 641959
335, 642976
345, 643895
355, 647673
364, 651152
374, 655820
384, 660436
394, 663916
402, 667451
418, 674998
432, 676391
446, 682668
456, 686101
466, 690322
476, 694824
486, 698404
496, 704170
506, 708737
516, 714881
526, 723540
535, 728915
545, 738293
555, 747642
565, 757286
575, 766832
585, 775688
595, 785727
604, 792417
610, 809411
669, 901247
677, 926428
682, 937695
3, 562803
614, 818570
621, 832875
626, 844981
632, 855987
634, 864787
640, 873595
644, 883499
649, 892305
656, 896723
664, 898944
672, 914354
687, 950667
694, 966071
2, 579284
2, 592471
4, 605663
7, 616664
12, 632063
17, 635377
