7.9129, 0.037679
18.213, 0.080239
24.889, 5.0465
28.848, 0.11246
39.879, 0.16436
40.863, 5.0477
50.061, 0.23356
60.242, 0.30277
70.093, 0.34541
80.202, 0.41127
90.693, 0.47049
101.18, 0.52706
111.67, 0.57523
122.16, 0.63711
132.66, 0.68130
143.15, 0.73124
153.64, 0.77853
164.13, 0.82052
174.62, 0.86162
185.11, 0.90272
195.60, 0.94957
206.09, 0.97963
216.58, 1.0190
227.07, 1.0539
237.56, 1.0782
248.05, 1.1135
258.54, 1.1401
269.03, 1.1622
279.52, 1.1922
290.01, 1.2209
300.50, 1.2448
310.99, 1.2656
321.49, 1.2881
331.98, 1.3160
342.47, 1.3381
352.96, 1.3571
363.45, 1.3783
373.94, 1.4043
384.43, 1.4256
394.92, 1.4432
405.41, 1.4698
415.90, 1.4883
426.39, 1.5056
436.88, 1.5338
447.37, 1.5502
457.86, 1.5683
468.35, 1.5953
478.84, 1.6183
489.33, 1.6386
499.83, 1.6589
510.32, 1.6823
520.81, 1.7040
531.30, 1.7257
541.79, 1.7548
552.28, 1.7765
562.77, 1.8021
573.26, 1.8322
583.75, 1.8596
594.24, 1.8861
604.73, 1.9183
615.22, 1.9431
625.71, 1.9731
636.20, 2.0045
646.69, 2.0421
657.18, 2.0664
667.67, 2.0885
678.16, 2.1088
688.66, 2.1300
698.67, 2.1486
