SoC,Voltage,z_n,z_p,c_n_init,c_p_init
0.0,2.4986349943376567,0.0279,0.9072,924.4107,57247.9488
0.005,2.6057044716596325,0.032267500000000005,0.9039475,1069.1190775000002,57042.70304
0.01,2.6963612134937542,0.036635,0.900695,1213.827455,56837.45728
0.015,2.773221727820572,0.0410025,0.8974425,1358.5358325,56632.211520000004
0.02,2.8384960675577044,0.04537,0.89419,1503.24421,56426.96576
0.025,2.8940538595714003,0.049737500000000004,0.8909375,1647.9525875000002,56221.72
0.03,2.9414803182925726,0.054105,0.8876850000000001,1792.660965,56016.47424
0.035,2.9821238674038835,0.058472500000000004,0.8844325,1937.3693425000001,55811.22848
0.04,3.0171367010449934,0.06284000000000001,0.88118,2082.07772,55605.98272
0.045,3.047509335250225,0.0672075,0.8779275,2226.7860975000003,55400.736959999995
0.05,3.074099910811266,0.071575,0.874675,2371.494475,55195.4912
0.055,3.097658690533021,0.0759425,0.8714225,2516.2028525,54990.24544
0.06,3.1188478336070258,0.08030999999999999,0.86817,2660.9112299999997,54784.99968
0.065,3.138256135038376,0.0846775,0.8649175,2805.6196075000003,54579.75392
0.07,3.156408041980856,0.08904500000000001,0.861665,2950.3279850000004,54374.50816
0.075,3.1737660341452587,0.09341249999999998,0.8584125,3095.0363624999995,54169.2624
0.08,3.1907256198558835,0.09778,0.85516,3239.74474,53964.01664
0.085,3.2076030694100064,0.1021475,0.8519075,3384.4531175,53758.770880000004
0.09,3.2246178320286654,0.106515,0.848655,3529.161495,53553.525120000006
0.095,3.241874233063641,0.1108825,0.8454025000000001,3673.8698725,53348.27936
0.1,3.2593496507997815,0.11524999999999999,0.84215,3818.5782499999996,53143.033599999995
0.105,3.2768972570093067,0.11961749999999999,0.8388975,3963.2866274999997,52937.78784
0.11,3.2942688505089697,0.12398499999999998,0.835645,4107.995005,52732.54208
0.115,3.31115705495073,0.1283525,0.8323925,4252.7033825,52527.29632
0.12,3.327248521644252,0.13271999999999998,0.82914,4397.411759999999,52322.050559999996
0.125,3.342274865735306,0.1370875,0.8258875,4542.1201375,52116.8048
0.13,3.3560488766997163,0.141455,0.822635,4686.828515,51911.55904
0.135,3.368479559522037,0.1458225,0.8193825,4831.536892499999,51706.31328
0.14,3.3795671683827866,0.15019000000000002,0.81613,4976.24527,51501.067520000004
0.145,3.3893847485754627,0.1545575,0.8128775,5120.9536474999995,51295.82176
0.15,3.3980541894572247,0.15892499999999998,0.809625,5265.662025,51090.576
0.155,3.4057232226652583,0.1632925,0.8063724999999999,5410.370402500001,50885.330239999996
0.16,3.4125470096745154,0.16766,0.80312,5555.07878,50680.08448
0.165,3.418675439919838,0.1720275,0.7998675,5699.7871575,50474.83872
0.17,3.4242456503981646,0.176395,0.796615,5844.495535,50269.592959999994
0.175,3.429378568073539,0.1807625,0.7933625,5989.2039125,50064.3472
0.18,3.4341781750333484,0.18513,0.79011,6133.912289999999,49859.10144
0.185,3.4387323976435584,0.18949749999999999,0.7868575,6278.620667499999,49653.85568
0.19,3.443114813648645,0.193865,0.783605,6423.329045,49448.60992
0.195,3.4473866444254835,0.1982325,0.7803525,6568.0374225000005,49243.36416
0.2,3.4515987122322325,0.2026,0.7771,6712.7458,49038.1184
0.205,3.4557931904761148,0.2069675,0.7738475,6857.4541775,48832.87264
0.21,3.460005070251066,0.211335,0.770595,7002.162555,48627.62688
0.215,3.4642633235508753,0.2157025,0.7673425,7146.8709325,48422.381120000005
0.22,3.468591775783097,0.22007,0.7640899999999999,7291.579309999999,48217.13535999999
0.225,3.4730097173849637,0.2244375,0.7608374999999999,7436.2876875,48011.889599999995
0.23,3.477532293215516,0.228805,0.757585,7580.996065,47806.64384
0.235,3.482170713168893,0.23317249999999998,0.7543325,7725.7044424999995,47601.39808
0.24,3.4869323304287696,0.23753999999999997,0.75108,7870.41282,47396.15232
0.245,3.491820635903634,0.2419075,0.7478275,8015.1211975,47190.906559999996
0.25,3.496835218634792,0.246275,0.744575,8159.829575,46985.6608
0.255,3.501971741713856,0.2506425,0.7413225,8304.537952499999,46780.41504
0.26,3.507221980543535,0.25501,0.73807,8449.24633,46575.16928
0.265,3.512573964198438,0.2593775,0.7348175,8593.9547075,46369.923520000004
0.27,3.5180122506224447,0.263745,0.731565,8738.663085,46164.67776
0.275,3.5235183525171823,0.2681125,0.7283124999999999,8883.3714625,45959.43199999999
0.28,3.5290713139466487,0.27248,0.7250599999999999,9028.07984,45754.186239999995
