SoC,DCIR_Ohms
1.0,0.029002543475139753
0.95,0.027337145818317587
0.9,0.02620785830550192
0.85,0.025395021803132335
0.8,0.024795376492782052
0.75,0.024352764395835537
0.7,0.02403412008049264
0.65,0.02381928101802657
0.6,0.02369565675669456
0.55,0.02365676697651207
0.5,0.023700568996917238
0.45,0.02382905142460636
0.4,0.02404858304823234
0.35,0.02437094548708991
0.3,0.024815429318651994
0.25,0.02541291242594603
0.2,0.026214319861023228
0.15,0.027309188945467168
0.1,0.028873719923256314
0.05,0.031334435322426926
0.0,0.036360585678756864
